127.0.0.1 - - [08/Dec/2017:12:32:59 +0530] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [08/Dec/2017:12:33:04 +0530] "GET /JspApp/ HTTP/1.1" 500 2870
0:0:0:0:0:0:0:1 - - [08/Dec/2017:12:34:23 +0530] "GET /JspApp/ HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [08/Dec/2017:12:34:32 +0530] "GET /JspApp/ HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [08/Dec/2017:12:34:40 +0530] "GET /JspApp/ HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [08/Dec/2017:12:34:52 +0530] "GET /JspApp/page.1%20jsp HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [08/Dec/2017:12:35:01 +0530] "GET /JspApp/page2.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [08/Dec/2017:12:35:11 +0530] "GET /JspApp/page3.jsp HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [08/Dec/2017:12:38:02 +0530] "GET /JspApp/ HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [08/Dec/2017:12:38:10 +0530] "GET /JspApp/page1.jsp HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [08/Dec/2017:12:38:14 +0530] "GET /JspApp/page2.jsp HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [08/Dec/2017:12:38:16 +0530] "GET /JspApp/page3.jsp HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [08/Dec/2017:12:38:21 +0530] "GET /JspApp/page1.jsp HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [08/Dec/2017:12:38:27 +0530] "GET /JspApp/page2.jsp HTTP/1.1" 200 641
